sentence,packed_sentence,entities
為什麼台中增班有人要氣成這樣啊,為什麼(D)　台中(Nc)　增班(VJ)　有(V_2)　人(Na)　要(D)　氣成(VG)　這樣(VH)　啊(T),"[{'word': '台中', 'ner': 'GPE'}]"
現在有春節促銷耶,現在(Nd)　有(V_2)　春節(Nd)　促銷(VC)　耶(T),"[{'word': '春節', 'ner': 'DATE'}]"
反正虧錢是星宇的事啊,反正(D)　虧錢(VH)　是(SHI)　星宇(Na)　的(DE)　事(Na)　啊(T),"[{'word': '星宇', 'ner': 'ORG'}]"
多開幾班得利的是旅客,多(D)　開(VC)　幾(Neu)　班(Nf)　得利(VA)　的(DE)　是(SHI)　旅客(Na),[]
老朋友怎麼沒有出來啊,老朋友(Na)　怎麼(D)　沒有(D)　出來(VA)　啊(T),[]
奇怪,奇怪(VK),[]
誰增班在氣啊,誰(Nh)　增班(VJ)　在(P)　氣(VK)　啊(T),[]
不是說台中養不了廣體,不(D)　是(SHI)　說(VE)　台中(Nc)　養不了(VJ)　廣體(VH),"[{'word': '台中', 'ner': 'GPE'}]"
就群人瘋狂質疑,就(P)　群(Nf)　人(Na)　瘋狂(VH)　質疑(VE),[]
他促銷好事啊,他(Nh)　促銷(VC)　好事(Na)　啊(T),[]
是有人堅持台中超黃金航點,是(SHI)　有(V_2)　人(Na)　堅持(VK)　台中(Nc)　超(VJ)　黃金(Na)　航點(Na),"[{'word': '台中', 'ner': 'GPE'}]"
長榮華航都對不起台中,長榮(Nb)　華航(Nc)　都(D)　對不起(VJ)　台中(Nc),"[{'word': '長榮華航', 'ner': 'ORG'}, {'word': '台中', 'ner': 'GPE'}]"
怎麼票價上不來,怎麼(D)　票價(Na)　上(VA)　不(D)　來(VA),[]
身為台灣,身為(VG)　台灣(Nc),"[{'word': '台灣', 'ner': 'GPE'}]"
我倒是希望團客能別撐就別撐,我(Nh)　倒是(D)　希望(VK)　團客(Na)　能(D)　別(D)　撐(VC)　就(D)　別(D)　撐(VC),[]
這樣才有便宜機票可以買嗚嗚嗚,這樣(VH)　才(Da)　有(V_2)　便宜(VH)　機票(Na)　可以(D)　買(VC)　嗚嗚嗚(I),[]
現在光團客就坐滿了,現在(Nd)　光團客(Da)　就(D)　坐滿(VC)　了(Di),[]
票價都好貴,票價(Na)　都(D)　好(Dfa)　貴(VH),[]
桃園成田從去年開始低價都在上下,桃園(Nc)　成田(Nc)　從(P)　去年(Nd)　開始(Ng)　低價(Na)　都(D)　在(P)　上下(Ncd),"[{'word': '桃園', 'ner': 'GPE'}, {'word': '成田', 'ner': 'GPE'}, {'word': '去年', 'ner': 'DATE'}]"
國泰甚至,國泰(Nb)　甚至(D),[]
不太懂你提的用意,不(D)　太(Dfa)　懂(VK)　你(Nh)　提(VE)　的(DE)　用意(Na),[]
是告訴大家賣很好,是(SHI)　告訴(VE)　大家(Nh)　賣(VD)　很(Dfa)　好(VH),[]
華航長榮,華航(Nc)　長榮(Nb),"[{'word': '華航', 'ner': 'ORG'}, {'word': '長榮', 'ner': 'ORG'}]"
還是星宇,還是(Caa)　星宇(Na),[]
為什麼我翻都是上下還有誤解了什麼嗎,為什麼(D)　我(Nh)　翻(VA)　都(D)　是(SHI)　上下(Ncd)　還(D)　有(V_2)　誤解(VK)　了(Di)　什麼(Nep)　嗎(T),[]
我說有特定組合低於,我(Nh)　說(VE)　有(V_2)　特定(A)　組合(Na)　低於(VJ),[]
這跟有互相抵觸嗎,這(Nep)　跟(P)　有(V_2)　互相(D)　抵觸(VC)　嗎(T),[]
根據酷魚大的數據,根據(P)　酷(VH)　魚(Na)　大(VH)　的(DE)　數據(Na),[]
成田載客率大概都有成,成田(Nc)　載客率(Na)　大概(D)　都(D)　有成(VH),"[{'word': '成田', 'ner': 'GPE'}]"
我是想說這樣可以代表賣不好,我(Nh)　是(SHI)　想(VE)　說(VE)　這樣(VH)　可以(D)　代表(VK)　賣(VD)　不(D)　好(VH),[]
還是團客多,還是(D)　團客(Na)　多(VH),[]
是啊,是(SHI)　啊(T),[]
你找不到,你(Nh)　找(VC)　不(D)　到(VC),[]
代表賣很好呀,代表(VK)　賣(VD)　很(Dfa)　好(VH)　呀(T),[]
現主時今天看到長榮進行中的開工促銷月底前桃園成田就是最低粉專把這價格歸類在推薦,現主時(Nd)　今天(Nd)　看到(VE)　長榮(Nb)　進行(VC)　中(Ng)　的(DE)　開工(VH)　促銷(VC)　月底(Nd)　前(Ng)　桃園(Nc)　成田(Nc)　就(Cbb)　是(SHI)　最(Dfa)　低(VH)　粉專(Nc)　把(P)　這(Nep)　價格(Na)　歸類(VJ)　在(P)　推薦(VC),"[{'word': '今天', 'ner': 'DATE'}, {'word': '長榮', 'ner': 'ORG'}, {'word': '月底前', 'ner': 'DATE'}, {'word': '桃園', 'ner': 'GPE'}, {'word': '成田', 'ner': 'GPE'}]"
幾乎不賣團客的我看載客率也不差但我也買過的來回機票,幾乎(Da)　不(D)　賣(VD)　團客(Na)　的(DE)　我(Nh)　看(VE)　載客率(Na)　也(D)　不(D)　差(VH)　但(Cbb)　我(Nh)　也(D)　買(VC)　過(Di)　的(DE)　來回(Nv)　機票(Na),[]
還是我可以因為機票價格不到武斷的說都是靠團客機票賣不好啦好像也不是這樣吧,還是(D)　我(Nh)　可以(D)　因為(Cbb)　機票(Na)　價格(Na)　不(D)　到(P)　武斷(VH)　的(DE)　說(VE)　都(D)　是(SHI)　靠(P)　團客(Na)　機票(Na)　賣(VD)　不(D)　好(VH)　啦(T)　好像(D)　也(D)　不(D)　是(SHI)　這樣(VH)　吧(T),[]
去年月就開始促銷到今年月的票價,去年(Nd)　月(Na)　就(D)　開始(VL)　促銷(VC)　到(P)　今年(Nd)　月(Na)　的(DE)　票價(Na),"[{'word': '去年月', 'ner': 'DATE'}, {'word': '今年月', 'ner': 'DATE'}]"
如果現在還和去年樣的價格,如果(Cbb)　現在(Nd)　還(D)　和(P)　去年(Nd)　樣(Na)　的(DE)　價格(Na),"[{'word': '去年', 'ner': 'DATE'}]"
那才是真的賣不好了,那(Nep)　才(Da)　是(SHI)　真的(D)　賣(VD)　不(D)　好(T)　了(T),[]
叫賣很好嗎,叫賣(VC)　很(Dfa)　好(VH)　嗎(T),[]
現主時看華航長榮訂位都成喔不要再打臉了好嗎,現主(Nd)　時(Ng)　看(VC)　華航(Nc)　長榮(Nb)　訂位(VA)　都(D)　成(VH)　喔(T)　不要(D)　再(D)　打臉(VB)　了(Di)　好(VH)　嗎(T),"[{'word': '華航', 'ner': 'ORG'}]"
這麼厲害,這麼(D)　厲害(VH),[]
那你能告訴我目前台中成田多少嗎,那(Dk)　你(Nh)　能(D)　告訴(VE)　我(Nh)　目前(Nd)　台中(Nc)　成田(Nc)　多少(Neqa)　嗎(T),"[{'word': '台中', 'ner': 'GPE'}]"
既然看得到統計數據,既然(Cbb)　看(VE)　得(DE)　到(VE)　統計(Na)　數據(Na),[]
那就麻煩了,那(Dk)　就(D)　麻煩(VHC)　了(T),[]
非常感謝您的分享,非常(Dfa)　感謝(VK)　您(Nh)　的(DE)　分享(Nv),[]
論團客與票價的關係,論(P)　團客(Na)　與(Caa)　票價(Na)　的(DE)　關係(Na),[]
報告大人我剛剛用的組合星宇台中華航所以我得到的結論是華航賣不好要多賣團客嗎,報告(VE)　大人(Na)　我(Nh)　剛剛(D)　用(VC)　的(DE)　組合(Na)　星宇(Nc)　台中(Nc)　華航(Nc)　所以(Cbb)　我(Nh)　得到(VJ)　的(DE)　結論(Na)　是(SHI)　華航(Nc)　賣(VD)　不(D)　好(VH)　要(D)　多(D)　賣(VD)　團客(Na)　嗎(T),"[{'word': '星宇台中華航', 'ner': 'ORG'}, {'word': '華航', 'ner': 'ORG'}]"
這麼想看我的數據是華航主管嗎,這麼(D)　想(VE)　看(VC)　我(Nh)　的(DE)　數據(Na)　是(SHI)　華航(Nc)　主管(Na)　嗎(T),"[{'word': '華航', 'ner': 'ORG'}]"
發個內部公告就指稱我有內應洩密,發(VD)　個(Di)　內部(Ncd)　公告(Na)　就(D)　指稱(VE)　我(Nh)　有(V_2)　內應(Na)　洩密(VA),[]
我好像沒找過華航員工幫忙要機密欸以上節目華航主管,我(Nh)　好像(D)　沒(D)　找(VC)　過(Di)　華航(Nc)　員工(Na)　幫忙(VC)　要(VC)　機密(Na)　欸(I)　以上(Ncd)　節目(Na)　華航(Nc)　主管(Na),"[{'word': '華航', 'ner': 'ORG'}, {'word': '華航', 'ner': 'ORG'}]"
你好敏感欸,你(Nh)　好(Dfa)　敏感(VH)　欸(I),[]
問個數據就說人主管,問(VE)　個(Nf)　數據(Na)　就(D)　說(VE)　人(Na)　主管(Na),[]
是有多神秘,是(SHI)　有(V_2)　多(Dfa)　神秘(VH),[]
我沒說您喔謝謝我下面有括號麻煩看清楚不要自己亂對號入座,我(Nh)　沒(D)　說(VE)　您(Nh)　喔(T)　謝謝(VJ)　我(Nh)　下面(Ncd)　有(V_2)　括號(Na)　麻煩(Na)　看清楚(VC)　不要(D)　自己(Nh)　亂(VH)　對號(VA)　入座(VA),[]
台中飛東京比較貴不是很正常嗎,台中(Nc)　飛(VA)　東京(Nc)　比較(Dfa)　貴(VH)　不(D)　是(SHI)　很(Dfa)　正常(VH)　嗎(T),"[{'word': '台中', 'ner': 'GPE'}, {'word': '東京', 'ner': 'GPE'}]"
台中不就是賣你個方便,台中(Nc)　不(D)　就(Cbb)　是(SHI)　賣(VD)　你(Nh)　個(DE)　方便(VH),"[{'word': '台中', 'ner': 'GPE'}]"
台中如果賣到跟台北樣價格,台中(Nc)　如果(Cbb)　賣(VD)　到(P)　跟(P)　台北(Nc)　樣(Na)　價格(Na),"[{'word': '台中', 'ner': 'GPE'}, {'word': '台北', 'ner': 'GPE'}]"
這才好笑吧,這(Nep)　才(Da)　好笑(VH)　吧(T),[]
你說要打人臉,你(Nh)　說(VE)　要(D)　打(VC)　人臉(Na),[]
怎麼直顧左右而言他,怎麼(D)　直(D)　顧左右而言他(VA),[]
提了然後又叫人別對號入座,提(VE)　了(Di)　然後(D)　又(D)　叫(VF)　人(Na)　別(D)　對號(VA)　入座(VA),[]
是有沒有要討論台中票價比台北票價高能代表甚麼,是(SHI)　有沒有(D)　要(D)　討論(VE)　台中(Nc)　票價(Na)　比(P)　台北(Nc)　票價(Na)　高(VH)　能(D)　代表(VK)　甚麼(Nep),"[{'word': '台中', 'ner': 'GPE'}, {'word': '台北', 'ner': 'GPE'}]"
你要說我團票論述不足呀,你(Nh)　要(D)　說(VE)　我(Nh)　團票(Na)　論述(Na)　不足(VH)　呀(T),[]
所以你認同台中養得起廣體機嗎,所以(Cbb)　你(Nh)　認同(VJ)　台中(Nc)　養得起(VC)　廣體機(Na)　嗎(T),"[{'word': '台中', 'ner': 'GPE'}]"
還是你只是想說你專業,還是(Caa)　你(Nh)　只是(D)　想(VE)　說(VE)　你(Nh)　專業(VH),[]
有數據,有(V_2)　數據(Na),[]
然後沒有要討論,然後(D)　沒有(D)　要(D)　討論(VE),[]
閣下開戰方是您我拿數據論述的過程好像沒有跟您討論廣體積吧,閣下(Nh)　開戰(VB)　方(D)　是(SHI)　您我(Nh)　拿(VC)　數據(Na)　論述(Na)　的(DE)　過程(Na)　好像(D)　沒有(D)　跟(P)　您(Nh)　討論(VE)　廣體積(VH)　吧(T),[]
再來開頭是您說星宇開盤子價賣不好靠團課還降價到小民只是拿桃園他航票價數據給您看表示季節性的問題別人打價格戰好像這些消費市場行為也是正常之舉然後您現在又說代表什麼,再來(D)　開頭(VA)　是(SHI)　您(Nh)　說(VE)　星宇(Nb)　開盤子(VA)　價(Na)　賣(VD)　不(D)　好(VH)　靠(P)　團課(Na)　還(D)　降價(VH)　到(P)　小民(Na)　只是(D)　拿(VC)　桃園(Nc)　他航(Nh)　票價(Na)　數據(Na)　給(VD)　您(Nh)　看(VE)　表示(VE)　季節性(Na)　的(DE)　問題(Na)　別人(Nh)　打(VC)　價格戰(Na)　好像(D)　這些(Neqa)　消費(Na)　市場(Nc)　行為(Na)　也(D)　是(SHI)　正常(VH)　之(DE)　舉(Na)　然後(D)　您(Nh)　現在(Nd)　又(D)　說(VE)　代表(VK)　什麼(Nep),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '桃園他航', 'ner': 'ORG'}]"
從頭到尾質疑別人的不是您嗎,從頭到尾(D)　質疑(VE)　別人(Nh)　的(DE)　不(D)　是(SHI)　您(Nh)　嗎(T),[]
還有我佩服您的空閒想必是時間很多可以戰個下午都有餘裕這種成功的人士我想出行應該不用看價格想買什麼就有閒情逸致您說是吧草民自嘆不如告退,還(D)　有(V_2)　我(Nh)　佩服(VJ)　您(Nh)　的(DE)　空閒(Nv)　想必(D)　是(SHI)　時間(Na)　很多(Neqa)　可以(D)　戰(VC)　個(Di)　下午(Nd)　都(D)　有(V_2)　餘裕(Na)　這(Nep)　種(Nf)　成功(VH)　的(DE)　人士(Na)　我(Nh)　想(VE)　出行(VA)　應該(D)　不用(D)　看(VC)　價格(Na)　想(VE)　買(VC)　什麼(Nep)　就(D)　有(V_2)　閒情逸致(Na)　您(Nh)　說(VE)　是(SHI)　吧(T)　草民(Na)　自嘆不如(VH)　告退(VA),"[{'word': '下午', 'ner': 'TIME'}]"
所以星宇不就賣跟長榮桃園成田樣價格了嗎跟桃園樣價錢加上又方便不用搭高鐵或趟塊機場接送還是新的不是或時間帶也好對台灣當然有定程度吸引力,所以(Cbb)　星宇(Nb)　不(D)　就(D)　賣(VD)　跟(P)　長榮(Nb)　桃園(Nc)　成田(Nc)　樣(Na)　價格(Na)　了(T)　嗎(T)　跟(P)　桃園(Nc)　樣(Na)　價錢(Na)　加上(Cbb)　又(D)　方便(VH)　不用(D)　搭(VC)　高鐵(Na)　或(Caa)　趟(Na)　塊(Nf)　機場(Nc)　接送(VC)　還是(D)　新(VH)　的(DE)　不是(D)　或(Caa)　時間帶(Na)　也好(T)　對(P)　台灣(Nc)　當然(D)　有(V_2)　定(VH)　程度(Na)　吸引力(Na),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '桃園', 'ner': 'GPE'}, {'word': '台灣', 'ner': 'GPE'}]"
啥啊,啥(Nep)　啊(I),[]
都不討論下就跑了,都(D)　不(D)　討論(VE)　下(Ng)　就(D)　跑(VA)　了(Di),[]
指點二嘛有專業的人應該多分享些多長見識才是討論板嘛至於,指點(VE)　二(Neu)　嘛(T)　有(V_2)　專業(VH)　的(DE)　人(Na)　應該(D)　多(D)　分享(VJ)　些(Nf)　多(Dfa)　長(VH)　見識(Na)　才(Da)　是(SHI)　討論板(Na)　嘛(T)　至於(P),[]
你也知道這個價格很有競爭力,你(Nh)　也(D)　知道(VK)　這(Nep)　個(Nf)　價格(Na)　很(Dfa)　有(V_2)　競爭力(Na),[]
那你有想過為什麼賣個月他還在這價格嗎,那(Dk)　你(Nh)　有(V_2)　想(VE)　過(Di)　為什麼(D)　賣(VD)　個(Nf)　月(Na)　他(Nh)　還(D)　在(P)　這(Nep)　價格(Na)　嗎(T),[]
座位有多到這個程度嗎,座位(Na)　有(V_2)　多(D)　到(P)　這(Nep)　個(Nf)　程度(Na)　嗎(T),[]
當然提到的,當然(D)　提到(VE)　的(DE),[]
因為開賣晚,因為(Cbb)　開賣(VD)　晚(VH),[]
有些早已選擇其他方案,有些(Neqa)　早已(D)　選擇(VC)　其他(Neqa)　方案(Na),[]
也是因素之,也(D)　是(SHI)　因素(Na)　之(DE),[]
但如果台中像你說的那麼賺,但(Cbb)　如果(Cbb)　台中(Nc)　像(P)　你(Nh)　說(VE)　的(DE)　那麼(D)　賺(VC),"[{'word': '台中', 'ner': 'GPE'}]"
照理說應需求遠大於供給,照理(D)　說(VE)　應(D)　需求(Na)　遠(Dfa)　大(VJ)　於(P)　供給(VD),[]
可是看來不是,可是(Cbb)　看來(D)　不(D)　是(SHI),[]
台北飛成田票價通常是傳統航司最便宜的,台北(Nc)　飛(VA)　成田(Nc)　票價(Na)　通常(D)　是(SHI)　傳統(VH)　航司(Na)　最(Dfa)　便宜(VH)　的(DE),"[{'word': '台北', 'ner': 'GPE'}, {'word': '成田', 'ner': 'GPE'}]"
它用飛,它(Nh)　用(P)　飛(VA),[]
載客數座,載客(VA)　數(Neu)　座(Nf),[]
真是蠻屌的,真是(D)　蠻(Dfa)　屌(FW)　的(DE),[]
大家火氣不要那麼大,大家(Nh)　火氣(Na)　不要(D)　那麼(D)　大(VH),[]
火很大的幾位是星宇員工喔,火(Na)　很(Dfa)　大(VH)　的(DE)　幾(Neu)　位(Nf)　是(SHI)　星宇(Nc)　員工(Na)　喔(T),[]
這種文也能討論到爆,這(Nep)　種(Nf)　文(Na)　也(D)　能(D)　討論到(VE)　爆(VH),[]
星宇是流量王啊華航長榮飛機故障沒人在乎星宇有故障馬上會有人出來裝中立帶風向,星宇(Nb)　是(SHI)　流量王(Na)　啊(T)　華航(Nc)　長榮(Nb)　飛機(Na)　故障(VH)　沒(VJ)　人(Na)　在乎(VK)　星宇(Na)　有(V_2)　故障(VH)　馬上(D)　會(D)　有(V_2)　人(Na)　出來(VA)　裝(VC)　中立(VH)　帶(VC)　風向(Na),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '華航', 'ner': 'ORG'}, {'word': '長榮', 'ner': 'ORG'}, {'word': '星宇', 'ner': 'ORG'}]"
還行啦這個版上酸很大的坨華航長榮航勤員工多的是連線裡面就有兩個是員工哩,還(D)　行(VH)　啦(T)　這(Nep)　個(Nf)　版(Na)　上(Ng)　酸(VH)　很(Dfa)　大(VH)　的(DE)　坨(Nf)　華航(Nc)　長榮(Nb)　航勤(Na)　員工(Na)　多(VH)　的(DE)　是(SHI)　連線(VB)　裡面(Ncd)　就(D)　有(V_2)　兩(Neu)　個(Nf)　是(SHI)　員工(Na)　哩(T),"[{'word': '華航', 'ner': 'ORG'}, {'word': '兩', 'ner': 'CARDINAL'}]"
的是不是不樣,的(DE)　是(SHI)　不(D)　是(SHI)　不樣(D),[]
星宇飛機故障被噴爆,星宇(Nb)　飛機(Na)　故障(VH)　被(P)　噴爆(VC),"[{'word': '星宇', 'ner': 'ORG'}]"
華航長榮飛機故障靜悄悄,華航(Nc)　長榮(Nb)　飛機(Na)　故障(VH)　靜悄悄(VH),"[{'word': '華航', 'ner': 'ORG'}, {'word': '長榮', 'ner': 'ORG'}]"
台中只有星宇飛幹嘛促銷,台中(Nc)　只有(Cbb)　星宇飛(Nb)　幹嘛(D)　促銷(VC),"[{'word': '台中', 'ner': 'GPE'}, {'word': '星宇飛', 'ner': 'PERSON'}]"
看這麼偏激其果然精采注意請避免使用供不應求這類字眼有人無法接受會跳針票價,看(VC)　這麼(D)　偏激(VH)　其(Nep)　果然(D)　精采(VH)　注意(VK)　請(VF)　避免(VE)　使用(VC)　供不應求(VH)　這(Nep)　類(Nf)　字眼(Na)　有(V_2)　人(Na)　無法(D)　接受(VC)　會(D)　跳針(VA)　票價(Na),[]
真厲害,真(D)　厲害(VH),[]
台中真的被星宇做起來,台中(Nc)　真的(D)　被(P)　星宇(Na)　做起來(VA),"[{'word': '台中', 'ner': 'GPE'}]"
之前從米國回台身為台灣選擇從仁川轉機到台中機場整個塞爆如果台中及桃機價差在來回高鐵票以內我會選台中飛,之前(Nd)　從(P)　米國(Nc)　回(VCL)　台(Nc)　身為(VG)　台灣(Nc)　選擇(VC)　從(P)　仁川(Nc)　轉機(Na)　到(VCL)　台中(Nc)　機場(Nc)　整(Neqa)　個(Nf)　塞爆(VC)　如果(Cbb)　台中(Nc)　及(Caa)　桃機(Na)　價差(Na)　在(P)　來回(VCL)　高鐵票(Na)　以內(Ng)　我(Nh)　會(D)　選(VC)　台中(Nc)　飛(VA),"[{'word': '米國', 'ner': 'GPE'}, {'word': '台', 'ner': 'GPE'}, {'word': '台灣', 'ner': 'GPE'}, {'word': '仁川', 'ner': 'GPE'}, {'word': '台中機場', 'ner': 'FAC'}, {'word': '台中', 'ner': 'GPE'}, {'word': '桃機', 'ner': 'GPE'}, {'word': '台中', 'ner': 'GPE'}]"
如果星宇做起來我也選台中飛,如果(Cbb)　星宇(Nb)　做起來(D)　我(Nh)　也(D)　選(VC)　台中(Nc)　飛(VA),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '台中', 'ner': 'GPE'}]"
以前是沒有穩定的航班,以前(Nd)　是(SHI)　沒有(VJ)　穩定(VHC)　的(DE)　航班(Na),[]
保險起見選桃園,保險(Na)　起見(Cba)　選(VC)　桃園(Nc),"[{'word': '桃園', 'ner': 'GPE'}]"
把臺中做起來真的很猛厲害,把(P)　臺中(Nc)　做起來(D)　真的(D)　很(Dfa)　猛(VH)　厲害(VH),"[{'word': '臺中', 'ner': 'GPE'}]"
有商機才會直開新航線到底是在吵什麼,有(V_2)　商機(Na)　才(Da)　會(D)　直(D)　開(VC)　新(VH)　航線(Na)　到底(D)　是(SHI)　在(P)　吵(VC)　什麼(Nep),[]
畢竟飛機不能全放,畢竟(D)　飛機(Na)　不能(D)　全(Neqa)　放(VC),[]
要趁沒回來把台日線卡好,要(D)　趁(P)　沒(D)　回來(VA)　把(P)　台日線(Na)　卡好(VC),"[{'word': '台', 'ner': 'GPE'}, {'word': '日', 'ner': 'GPE'}]"
笑死只靠團客撐能飛到增班哪家旅行社這麼神,笑死(VHC)　只(Da)　靠(VJ)　團客(Na)　撐(VC)　能(D)　飛到(VCL)　增班(Nc)　哪(Nep)　家(Nf)　旅行社(Nc)　這麼(Dfa)　神(VH),[]
再多個曼谷,再(D)　多(Neqa)　個(Nf)　曼谷(Nc),"[{'word': '曼谷', 'ner': 'GPE'}]"
對中南部來說台中機票貴點也是划算,對(P)　中南部(Ncd)　來(D)　說(VE)　台中(Nc)　機票(Na)　貴(VH)　點(Dfb)　也(D)　是(SHI)　划算(VH),"[{'word': '台中', 'ner': 'GPE'}]"
中部而已吧,中部(Ncd)　而已(T)　吧(T),[]
南部去台中機場太麻煩了,南部(Ncd)　去(VCL)　台中(Nc)　機場(Nc)　太(Dfa)　麻煩(VHC)　了(T),"[{'word': '台中機場', 'ner': 'FAC'}]"
倒不如直接高鐵去桃園,倒不如(D)　直接(VH)　高鐵(Na)　去(VCL)　桃園(Nc),"[{'word': '桃園', 'ner': 'GPE'}]"
直接在高雄搭就好了上桃園幹嘛,直接(VH)　在(P)　高雄(Nc)　搭(VC)　就(D)　好(VH)　了(T)　上(VCL)　桃園(Nc)　幹嘛(D),"[{'word': '高雄', 'ner': 'GPE'}, {'word': '桃園', 'ner': 'GPE'}]"
航空公司又不是傻子有錢賺能當重點機場當然增班呀管你是團客是散客上座率有能賺錢才是重要的台中要飛廣體也不是不行,航空(Na)　公司(Nc)　又(D)　不(D)　是(SHI)　傻子(Na)　有(V_2)　錢(Na)　賺(VC)　能(D)　當(VG)　重點(Na)　機場(Nc)　當然(D)　增班(VJ)　呀(T)　管(VE)　你(Nh)　是(SHI)　團客(Na)　是(SHI)　散客(Na)　上座率(Na)　有(V_2)　能(D)　賺錢(VA)　才(Da)　是(SHI)　重要(VH)　的(DE)　台中(Nc)　要(D)　飛(VA)　廣體(VH)　也(D)　不(D)　是(SHI)　不行(VH),"[{'word': '台中', 'ner': 'GPE'}]"
弄個遠端機坪,弄(VC)　個(Nf)　遠端(Nc)　機坪(Nc),[]
在弄幾台接駁車就能飛了,在(P)　弄(VC)　幾(Neu)　台(Nf)　接駁車(Na)　就(D)　能(D)　飛(VA)　了(Di),[]
為什麼每次星宇新聞都有槓精,為什麼(D)　每(Nes)　次(Nf)　星宇(Nb)　新聞(Na)　都(D)　有(V_2)　槓精(Na),"[{'word': '星宇新聞', 'ner': 'WORK_OF_ART'}]"
住彰化到台中飛真的舒服太多了,住(VCL)　彰化(Nc)　到(VCL)　台中(Nc)　飛(VA)　真的(D)　舒服(VH)　太多(VH)　了(T),"[{'word': '彰化', 'ner': 'GPE'}, {'word': '台中', 'ner': 'GPE'}]"
這次從台中出發真的讚散客很多欸,這(Nep)　次(Nf)　從(P)　台中(Nc)　出發(VA)　真的(D)　讚(VC)　散客(Na)　很多(VH)　欸(I),"[{'word': '台中', 'ner': 'GPE'}]"
從台中飛兩次了,從(P)　台中(Nc)　飛(VA)　兩(Neu)　次(Nf)　了(T),"[{'word': '台中', 'ner': 'GPE'}, {'word': '兩', 'ner': 'CARDINAL'}]"
能夠不慌不忙早上出門搭機對旅遊品質很有幫助,能夠(D)　不慌不忙(VH)　早上(Nd)　出門(VA)　搭機(VA)　對(P)　旅遊(Nv)　品質(Na)　很(Dfa)　有(V_2)　幫助(Na),"[{'word': '早上', 'ner': 'TIME'}]"
厲害,厲害(VH),[]
該不會連機場都會超車高雄了,該(D)　不會(D)　連(Cbb)　機場(Nc)　都(D)　會(D)　超車(VA)　高雄(Nc)　了(T),"[{'word': '高雄', 'ner': 'GPE'}]"
我住潭子,我(Nh)　住(VCL)　潭子(Nc),"[{'word': '潭子', 'ner': 'PERSON'}]"
沒開車的話不覺得台中有多方便,沒(D)　開車(VA)　的話(DE)　不(D)　覺得(VK)　台中(Nc)　有(V_2)　多(Dfa)　方便(VH),"[{'word': '台中', 'ner': 'GPE'}]"
潭子目前還算是邊緣地帶,潭子(Nc)　目前(Nd)　還(D)　算是(VG)　邊緣(Nc)　地帶(Nc),"[{'word': '潭子', 'ner': 'GPE'}]"
交通便利性當然無法跟市區比,交通(Na)　便利性(Na)　當然(D)　無法(D)　跟(P)　市區(Nc)　比(VC),[]
台中都快湊齊韓國航空公司了,台中(Nc)　都(D)　快(D)　湊齊(VC)　韓國(Nc)　航空(Na)　公司(Nc)　了(T),"[{'word': '台中', 'ner': 'GPE'}, {'word': '韓國航空公司', 'ner': 'ORG'}]"
高雄不開車也只能騎機車啊,高雄(Nc)　不(D)　開車(VA)　也(D)　只(Da)　能(D)　騎(VC)　機車(Na)　啊(T),"[{'word': '高雄', 'ner': 'GPE'}]"
哪裡方便,哪裡(Ncd)　方便(VH),[]
搭計程車或叫機場接送當然越近的越方便越經濟啊,搭(VC)　計程車(Na)　或(Caa)　叫(VF)　機場(Nc)　接送(VC)　當然(D)　越(D)　近(VH)　的(DE)　越(D)　方便(VH)　越(D)　經濟(VH)　啊(T),[]
不過怎麼每次都堆台中要廣體要超車高雄的言論,不過(Cbb)　怎麼(D)　每(Nes)　次(Nf)　都(D)　堆(VC)　台中(Nc)　要(D)　廣體(VH)　要(D)　超車(VA)　高雄(Nc)　的(DE)　言論(Na),"[{'word': '台中', 'ner': 'GPE'}, {'word': '高雄', 'ner': 'GPE'}]"
要是高雄機場底下的文,要是(Cbb)　高雄(Nc)　機場(Nc)　底下(Ncd)　的(DE)　文(Na),"[{'word': '高雄機場', 'ner': 'FAC'}]"
早就說高雄養不起廣體機了然後叫我們要尊重航司決策,早(D)　就(D)　說(VE)　高雄(Nc)　養不起(VJ)　廣體機(Na)　了(T)　然後(D)　叫(VF)　我們(Nh)　要(D)　尊重(VJ)　航司(Na)　決策(Na),"[{'word': '高雄', 'ner': 'GPE'}]"
就個自嗨的在說而已哪來的堆人,就(D)　個(Nf)　自嗨(VE)　的(DE)　在(P)　說(VE)　而已(T)　哪來(D)　的(DE)　堆(Nf)　人(Na),[]
我是接近北屯的潭子,我(Nh)　是(SHI)　接近(VC)　北屯(Nb)　的(DE)　潭子(Nc),"[{'word': '北屯', 'ner': 'GPE'}]"
附近有火車站跟捷運,附近(Nc)　有(V_2)　火車站(Nc)　跟(Caa)　捷運(Na),[]
還是寧願去桃園,還是(D)　寧願(VK)　去(VCL)　桃園(Nc),"[{'word': '桃園', 'ner': 'GPE'}]"
選擇多又便宜,選擇(Na)　多(VH)　又(Caa)　便宜(VH),[]
